zh-TW	告知權利義務
en-US	You have the following rights and obligations
en-US	I’m going to inform you your rights and obligations
en-US	I’m going to inform your obligation.
en-US	 now I am going to tell you your rights and obligations.
en-US	Now I’m going to inform your rights and obligations

zh-TW	1.你有權保持緘默，毋需違背意志做任何陳述。
en-US	First, you have the right to remain silent and do not have to make any statement against your will.
en-US	First, you have the right to remain silent and do not have to make any statements against your will.
en-US	1. You have the right to remain silent and do not have to make any statement against your will.
en-US	1. You have the right to remain silent and do not have to make any statement against your will.
en-US	You have the right to remain silent and do not have to make any statement against your will.
